date,temp,prec,atoms,hump,snowf
2007/1/1 1:00,-0.6,0,1020.6,75,0
2007/1/1 2:00,-1.6,0,1020.9,78,0
2007/1/1 3:00,-2.9,0,1021,85,0
2007/1/1 4:00,-3.4,0,1020.9,86,0
2007/1/1 5:00,-3.1,0,1021.1,86,0
2007/1/1 6:00,-4.9,0,1021,89,0
2007/1/1 7:00,-4.3,0,1021.4,90,0
2007/1/1 8:00,-3.7,0,1021.8,87,0
2007/1/1 9:00,-1.9,0,1021.5,75,0
2007/1/1 10:00,0.4,0,1021.2,68,0
2007/1/1 11:00,2.6,0,1020.3,52,0
2007/1/1 12:00,3.1,0,1019.2,52,0
2007/1/1 13:00,3.6,0,1018.9,49,0
2007/1/1 14:00,3.6,0,1019,54,0
2007/1/1 15:00,4.1,0,1018.9,55,0
2007/1/1 16:00,3.7,0,1018.7,58,0
2007/1/1 17:00,3.6,0,1018.7,64,0
2007/1/1 18:00,2.8,0,1018.4,79,0
2007/1/1 19:00,2.5,0,1017.6,83,0
2007/1/1 20:00,2.3,0,1016.9,80,0
2007/1/1 21:00,1.9,0,1016.6,83,0
2007/1/1 22:00,1.3,0,1015.9,91,0
2007/1/1 23:00,1.5,0.5,1015.5,95,0
2007/1/2 0:00,1.4,0.5,1014.9,95,0
2007/1/2 1:00,0.8,0,1014.8,96,1
2007/1/2 2:00,1,0.5,1014.8,96,0
2007/1/2 3:00,1.5,0.5,1014.4,92,0
2007/1/2 4:00,1.5,0,1013.9,88,0
2007/1/2 5:00,2.8,0,1013.8,68,0
2007/1/2 6:00,2.3,0,1014.1,70,0
2007/1/2 7:00,2.4,0,1014.3,58,0
2007/1/2 8:00,2,0,1014.9,71,0
2007/1/2 9:00,1.5,0,1015.9,63,0
2007/1/2 10:00,1.6,0,1016.1,57,0
2007/1/2 11:00,1.6,0,1015.9,53,0
2007/1/2 12:00,2.2,0,1015.5,51,0
2007/1/2 13:00,1.5,0,1015.3,56,0
2007/1/2 14:00,1.1,0,1015.6,66,0
2007/1/2 15:00,1.6,0,1015.8,59,0
2007/1/2 16:00,0.3,0,1016.5,84,0
2007/1/2 17:00,0.6,0,1016.8,66,0
2007/1/2 18:00,0.4,0,1017.3,59,0
2007/1/2 19:00,0.1,0,1017.5,57,0
2007/1/2 20:00,0,0,1018,58,0
2007/1/2 21:00,0.2,0,1018.6,57,0
2007/1/2 22:00,0.2,0,1019,54,0
2007/1/2 23:00,0.2,0,1019.3,55,0
2007/1/3 0:00,0.3,0,1019.2,53,0
2007/1/3 1:00,0,0,1019.2,53,0
2007/1/3 2:00,-0.6,0,1019.8,56,0
2007/1/3 3:00,-0.8,0,1019.8,60,0
2007/1/3 4:00,-1.6,0,1019.8,69,0
2007/1/3 5:00,-2.7,0,1019.9,75,0
2007/1/3 6:00,-3.2,0,1020.2,76,0
2007/1/3 7:00,-3.4,0,1020.6,70,0
2007/1/3 8:00,-3.8,0,1021.1,69,0
2007/1/3 9:00,-2.5,0,1021.6,62,0
2007/1/3 10:00,-0.6,0,1021.6,56,0
2007/1/3 11:00,1.6,0,1021.1,49,0
2007/1/3 12:00,3.1,0,1020.2,41,0
2007/1/3 13:00,2.9,0,1019.2,41,0
2007/1/3 14:00,2.4,0,1019,42,0
2007/1/3 15:00,2.6,0,1018.7,45,0
2007/1/3 16:00,2.4,0,1018.4,48,0
2007/1/3 17:00,1.6,0,1018.4,52,0
2007/1/3 18:00,0.1,0,1018.6,64,0
2007/1/3 19:00,-0.3,0,1018.4,67,0
2007/1/3 20:00,-0.7,0,1018.3,70,0
2007/1/3 21:00,-0.5,0,1018.4,71,0
2007/1/3 22:00,-0.7,0,1018.4,71,0
2007/1/3 23:00,-1,0,1017.8,71,0
2007/1/4 0:00,-1.3,0,1017.4,69,0
2007/1/4 1:00,-2.5,0,1017.3,78,0
2007/1/4 2:00,-2.3,0,1017.6,77,0
2007/1/4 3:00,-1.5,0,1017.2,71,0
2007/1/4 4:00,1.3,0,1016.5,54,0
2007/1/4 5:00,1,0,1016.5,58,0
2007/1/4 6:00,1,0,1016.7,60,0
2007/1/4 7:00,1.4,0,1016.7,54,0
2007/1/4 8:00,1.9,0,1017.5,56,1
2007/1/4 9:00,1.8,0,1018.3,59,0
2007/1/4 10:00,1.7,0,1018.9,54,0
2007/1/4 11:00,2.4,0,1018.8,44,1
2007/1/4 12:00,2.4,0,1018.9,41,0
2007/1/4 13:00,2.8,0,1018.8,42,0
2007/1/4 14:00,1.9,0,1019.4,45,0
2007/1/4 15:00,1,0,1019.9,54,1
2007/1/4 16:00,1.1,0,1020.5,50,0
2007/1/4 17:00,0.3,0,1020.6,69,1
2007/1/4 18:00,0.3,0,1021.1,77,0
2007/1/4 19:00,0.4,0,1021.3,72,0
2007/1/4 20:00,-0.1,0,1021.7,76,0
2007/1/4 21:00,-0.2,0,1022,59,0
2007/1/4 22:00,-0.2,0,1022.1,54,0
2007/1/4 23:00,-0.6,0,1022,51,0
2007/1/5 0:00,-1.4,0,1022.1,56,0
2007/1/5 1:00,-1,0,1022.1,55,0
2007/1/5 2:00,-1,0,1022.3,58,0
2007/1/5 3:00,-1.3,0,1022.7,62,0
2007/1/5 4:00,-2.1,0,1022.8,78,0
2007/1/5 5:00,-2.6,0,1023,72,0
2007/1/5 6:00,-3.2,0,1023.3,76,0
2007/1/5 7:00,-3.9,0,1023.7,70,0
2007/1/5 8:00,-3.6,0,1024.3,69,0
2007/1/5 9:00,-1.9,0,1024.3,61,0
2007/1/5 10:00,-0.2,0,1024.3,55,0
2007/1/5 11:00,2,0,1023.7,44,0
2007/1/5 12:00,2.6,0,1023,45,0
2007/1/5 13:00,2.8,0,1022.5,46,0
2007/1/5 14:00,2.9,0,1022.9,47,0
2007/1/5 15:00,2,0,1023.3,50,0
2007/1/5 16:00,1.8,0,1023.4,51,0
2007/1/5 17:00,1.1,0,1023.7,56,0
2007/1/5 18:00,0.1,0,1023.5,56,0
2007/1/5 19:00,0,0,1023.1,60,0
2007/1/5 20:00,-0.9,0,1022.8,65,0
2007/1/5 21:00,-1.3,0,1022.1,64,0
2007/1/5 22:00,-2.3,0,1022.1,68,0
2007/1/5 23:00,-2.4,0,1021.9,67,0
2007/1/6 0:00,-3.2,0,1021.6,68,0
2007/1/6 1:00,-3.6,0,1021.2,67,0
2007/1/6 2:00,-4,0,1021.4,67,0
2007/1/6 3:00,-4.2,0,1020.4,65,0
2007/1/6 4:00,-4.4,0,1019.6,64,0
2007/1/6 5:00,-4.1,0,1018.5,62,0
2007/1/6 6:00,-3.1,0,1017.5,59,0
2007/1/6 7:00,-1.7,0,1016.6,67,0
